Log file created at: 2014/12/30 15:22:17
Running on machine: ubuntu2
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
I1230 15:22:17.515525  8867 server.cpp:202] Read and Apply Update Done
I1230 15:22:17.523031  8867 serialized_oplog_reader.hpp:57] SerializedOpLogReader Restart(), num_tables_left = 3
I1230 15:22:17.523054  8867 serialized_oplog_reader.hpp:119] current_table_id = 0 update_size = 4 rows_left_in_current_table_ = 4
I1230 15:22:17.523059  8867 serialized_oplog_reader.hpp:119] current_table_id = 1 update_size = 4 rows_left_in_current_table_ = 4
I1230 15:22:17.523062  8867 serialized_oplog_reader.hpp:119] current_table_id = 2 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.523066  8867 server.cpp:202] Read and Apply Update Done
I1230 15:22:17.523350  8867 server.cpp:236] Serializing table 2
I1230 15:22:17.523357  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.523361  8867 server.cpp:236] Serializing table 1
I1230 15:22:17.523363  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.523366  8867 server.cpp:236] Serializing table 0
I1230 15:22:17.523370  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.523473  8870 server_version_mgr.cpp:51] Server id = 1000 original server version = 4294967295Set server version = 5
I1230 15:22:17.523481  8870 serialized_row_reader.hpp:64] mem_size_ = 24
I1230 15:22:17.523488  8870 server_version_mgr.cpp:51] Server id = 1 original server version = 4294967295Set server version = 5
I1230 15:22:17.523491  8870 server_version_mgr.cpp:61] IsUniqueMin!! server id = 1 version = 5
I1230 15:22:17.523496  8870 server_version_mgr.cpp:92] New min_version_ = 5
I1230 15:22:17.523499  8870 ssp_push_row_request_oplog_mgr.cpp:129] server id  = 1 version to remove = 5
I1230 15:22:17.523519  8870 serialized_row_reader.hpp:64] mem_size_ = 24
I1230 15:22:17.525842  8867 serialized_oplog_reader.hpp:57] SerializedOpLogReader Restart(), num_tables_left = 3
I1230 15:22:17.525852  8867 serialized_oplog_reader.hpp:119] current_table_id = 0 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.525856  8867 serialized_oplog_reader.hpp:119] current_table_id = 1 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.525857  8867 serialized_oplog_reader.hpp:119] current_table_id = 2 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.525893  8867 server.cpp:202] Read and Apply Update Done
I1230 15:22:17.525902  8867 server.cpp:236] Serializing table 2
I1230 15:22:17.525904  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.525907  8867 server.cpp:236] Serializing table 1
I1230 15:22:17.525909  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.525913  8867 server.cpp:236] Serializing table 0
I1230 15:22:17.525914  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.525928  8867 serialized_oplog_reader.hpp:57] SerializedOpLogReader Restart(), num_tables_left = 3
I1230 15:22:17.525930  8867 serialized_oplog_reader.hpp:119] current_table_id = 0 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.525933  8867 serialized_oplog_reader.hpp:119] current_table_id = 1 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.525935  8867 serialized_oplog_reader.hpp:119] current_table_id = 2 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.525938  8867 server.cpp:202] Read and Apply Update Done
I1230 15:22:17.526305  8867 server.cpp:236] Serializing table 2
I1230 15:22:17.526319  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.526322  8867 server.cpp:236] Serializing table 1
I1230 15:22:17.526324  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.526326  8867 server.cpp:236] Serializing table 0
I1230 15:22:17.526329  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.526343  8867 serialized_oplog_reader.hpp:57] SerializedOpLogReader Restart(), num_tables_left = 3
I1230 15:22:17.526346  8867 serialized_oplog_reader.hpp:119] current_table_id = 0 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.526348  8867 serialized_oplog_reader.hpp:119] current_table_id = 1 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.526350  8867 serialized_oplog_reader.hpp:119] current_table_id = 2 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.526353  8867 server.cpp:202] Read and Apply Update Done
I1230 15:22:17.526689  8867 server.cpp:236] Serializing table 2
I1230 15:22:17.526695  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.526698  8867 server.cpp:236] Serializing table 1
I1230 15:22:17.526700  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.526702  8867 server.cpp:236] Serializing table 0
I1230 15:22:17.526705  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.526713  8867 serialized_oplog_reader.hpp:57] SerializedOpLogReader Restart(), num_tables_left = 3
